"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","18108","","","","0"
"2021/2022","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","20666","","","","0"
"2022/2023","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","25435","","","","0"
"2023/2024","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","31004","","","","0"
"2024/2025","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427592","9.11","37514","","","","0"
"2007/2008","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","32000","","","","0"
"2008/2009","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","32000","","","","0"
"2009/2010","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","32960","","","","0"
"2010/2011","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","32960","","","","0"
"2011/2012","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","32960","","","","0"
"2012/2013","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","32960","","","","0"
"2013/2014","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","","..","","","0"
"2014/2015","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","","..","","","0"
"2015/2016","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","","..","","","0"
"2016/2017","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","","..","","","0"
"2017/2018","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","","..","","","0"
"2018/2019","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","","..","","","0"
"2019/2020","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","","..","","","0"
"2020/2021","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","","..","","","0"
"2021/2022","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","","..","","","0"
"2022/2023","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","118056","","","","0"
"2023/2024","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","122778","","","","0"
"2024/2025","Saskatchewan","2016A000247","Dentistry","Current dollars","75","units","0","v62427593","9.12","127689","","","","0"
"2006/2007","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","28694","","","","0"
"2007/2008","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2008/2009","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2009/2010","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2010/2011","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2011/2012","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2012/2013","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","13890","","","","0"
"2013/2014","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","F","","","0"
"2014/2015","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2015/2016","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2016/2017","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2017/2018","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2018/2019","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2019/2020","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2020/2021","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2021/2022","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2022/2023","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2023/2024","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2024/2025","Saskatchewan","2016A000247","Medicine","Current dollars","75","units","0","v62427594","9.13","","..","","","0"
"2008/2009","Saskatchewan","2016A000247","Nursing","Current dollars","75","units","0","v62427595","9.14","","..","","","0"
"2009/2010","Saskatchewan","2016A000247","Nursing","Current dollars","75","units","0","v62427595","9.14","12797","","","","0"
"2010/2011","Saskatchewan","2016A000247","Nursing","Current dollars","75","units","0","v62427595","9.14","13367","","","","0"
"2011/2012","Saskatchewan","2016A000247","Nursing","Current dollars","75","units","0","v62427595","9.14","13686","","","","0"
"2012/2013","Saskatchewan","2016A000247","Nursing","Current dollars","75","units","0","v62427595","9.14","14329","","","","0"
"2013/2014","Saskatchewan","2016A000247","Nursing","Current dollars","75","units","0","v62427595","9.14","16789","","","","0"
"2014/2015","Saskatchewan","2016A000247","Nursing","Current dollars","75","units","0","v62427595","9.14","18379","","","","0"
"2015/2016","Saskatchewan","2016A000247","Nursing","Current dollars","75","units","0","v62427595","9.14","19588","","","","0"
"2016/2017","Saskatchewan","2016A000247","Nursing","Current dollars","75","units","0","v62427595","9.14","20210","","","","0"
