"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","15077","","","","0"
"2007/2008","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","15867","","","","0"
"2008/2009","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","16026","","","","0"
"2009/2010","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","16739","","","","0"
"2010/2011","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","17310","","","","0"
"2011/2012","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","18047","","","","0"
"2012/2013","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","16694","","","","0"
"2013/2014","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","17027","","","","0"
"2014/2015","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","18249","","","","0"
"2015/2016","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","19652","","","","0"
"2016/2017","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","21143","","","","0"
"2017/2018","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","23714","","","","0"
"2018/2019","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","24704","","","","0"
"2019/2020","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","25790","","","","0"
"2020/2021","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","27299","","","","0"
"2021/2022","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","29309","","","","0"
"2022/2023","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","31348","","","","0"
"2023/2024","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","33515","","","","0"
"2024/2025","British Columbia","2016A000259","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427494","11.8","35226","","","","0"
"2006/2007","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","16507","","","","0"
"2007/2008","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","17347","","","","0"
"2008/2009","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","17794","","","","0"
"2009/2010","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","18879","","","","0"
"2010/2011","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","19161","","","","0"
"2011/2012","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","19795","","","","0"
"2012/2013","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","19109","","","","0"
"2013/2014","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","20078","","","","0"
"2014/2015","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","20382","","","","0"
"2015/2016","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","21913","","","","0"
"2016/2017","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","23899","","","","0"
"2017/2018","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","25836","","","","0"
"2018/2019","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","28606","","","","0"
"2019/2020","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","30277","","","","0"
"2020/2021","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","31630","","","","0"
"2021/2022","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","35905","","","","0"
"2022/2023","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","38347","","","","0"
"2023/2024","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","41465","","","","0"
"2024/2025","British Columbia","2016A000259","Engineering","Current dollars","75","units","0","v62427495","11.9","43623","","","","0"
"2008/2009","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","18711","","","","0"
"2009/2010","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","19670","","","","0"
